rt,subject,trial_type,size,probe,predicted,phon_sim,probe_phon_sim
6.24038696289062,64,IN,4,F,0.5328571428571429,0.15922363354357996,0.09622504486493764
2.99234008789062,64,OUT,6,G,0.5467857142857143,0.2501191076452096,0.29576064411493064
2.44973754882812,64,OUT,8,B,0.5263839285714285,0.3599201685119997,0.2939892667349012
1.80780029296875,64,IN,4,G,0.5474107142857143,0.3569401310833123,0.14907119849998599
1.90164184570312,64,IN,4,P,0.53125,0.0985887038467491,0.11111111111111115
1.95962524414062,64,IN,6,D,0.5372023809523809,0.22062673845056693,0.37320508075688774
1.88543701171875,64,IN,6,F,0.5317261904761905,0.2814728842831279,0.08944271909999159
1.88543701171875,64,IN,6,F,0.547797619047619,0.23594215377489794,0.14717774601895417
2.94610595703125,64,IN,6,H,0.5369047619047619,0.14920697037988165,0.12440169358562927
2.94485473632812,64,IN,6,F,0.5376785714285713,0.29340497785401853,0.14717774601895417
1.72671508789062,64,IN,6,D,0.534702380952381,0.36860693862105803,0.4626477998568793
1.64569091796875,64,IN,4,T,0.5098214285714285,0.463488902812718,0.47096647604213765
1.43539428710938,64,IN,4,H,0.5245535714285714,0.1036680779880244,0.11111111111111115
1.44256591796875,64,IN,4,Z,0.5411607142857142,0.12333409620738355,0.1721325931647741
1.52825927734375,64,IN,4,V,0.5111607142857143,0.0985887038467491,0.11111111111111115
1.52825927734375,64,IN,4,L,0.49214285714285716,0.2940947403223142,0.3957393909147531
2.62115478515625,64,IN,8,F,0.5240624999999999,0.24117817148891027,0.2535091235270834
1.8116455078125,64,OUT,4,R,0.5420535714285715,0.20871441826484885,0.44090284374857003
1.66574096679688,64,OUT,4,K,0.5441071428571428,0.1517806004204932,0.08333333333333336
1.77783203125,64,IN,4,G,0.5292857142857144,0.3181478449190703,0.26698568897986824
1.82846069335938,64,OUT,4,P,0.530625,0.2824045318333193,0.14433756729740646
1.34478759765625,64,IN,4,K,0.5289285714285715,0.1731243030967421,0.11111111111111115
1.55484008789062,64,IN,6,P,0.5336309523809523,0.3101395587522819,0.0
1.70333862304688,64,IN,4,K,0.5575892857142857,0.15991592130745833,0.09622504486493764
1.36404418945312,64,IN,6,R,0.5366071428571428,0.152458573439085,0.19964069339829246
1.36404418945312,64,IN,6,C,0.5430952380952381,0.3686069386210581,0.3465943491321799
1.391845703125,64,OUT,4,S,0.545625,0.25544867840851765,0.2165063509461097
2.10336303710938,64,IN,6,V,0.5251785714285715,0.23386200017165443,0.0
1.10894775390625,64,IN,4,C,0.5159821428571428,0.47022786750765316,0.5406694893093822
2.31317138671875,64,OUT,4,C,0.5283035714285714,0.33136253994731063,0.3755539564008634
2.4771728515625,64,OUT,8,G,0.5375446428571429,0.38046320878242146,0.27948609126184637
1.91018676757812,64,IN,6,B,0.5501785714285714,0.16547005383792518,0.20773502691896256
1.6434326171875,64,OUT,6,V,0.5473809523809524,0.2620848658689528,0.14433756729740646
1.99920654296875,64,IN,6,F,0.5394047619047619,0.2227333015745097,0.35209051895687093
1.58938598632812,64,OUT,4,D,0.5361607142857143,0.37300564528543084,0.6636751345948129
2.45687866210938,64,OUT,4,H,0.5454464285714287,0.14433756729740646,0.1555021169820366
2.24807739257812,64,IN,6,T,0.5254166666666666,0.43176361543121256,0.5403149125442452
1.42938232421875,64,IN,6,N,0.5304166666666666,0.2081005715344798,0.3010824970494238
1.908935546875,64,OUT,6,T,0.5202976190476191,0.39511048306492086,0.4858525422883111
1.88589477539062,64,IN,6,F,0.5317261904761905,0.2814728842831279,0.08944271909999159
1.88589477539062,64,IN,6,F,0.547797619047619,0.23594215377489794,0.14717774601895417
1.61343383789062,64,OUT,4,B,0.5242857142857142,0.14162185213794262,0.05590169943749474
1.56887817382812,64,IN,6,G,0.5363095238095238,0.23511393375382653,0.26547005383792516
2.63287353515625,64,IN,8,S,0.5366517857142856,0.24132399443882566,0.32669225671919655
2.10806274414062,64,OUT,4,G,0.5535714285714286,0.24598221788984534,0.24340169943749473
1.79119873046875,64,OUT,8,B,0.5271874999999999,0.277883723255032,0.2939892667349012
1.73858642578125,64,IN,4,P,0.5293749999999999,0.6691238130033305,0.7033474465469105
1.46905517578125,64,OUT,4,Z,0.5461607142857142,0.3569401310833123,0.33036767339586437
